A,000259
A,000502
A,000590
A,000700
A,000826
A,000978
A,001570
A,002249
A,002563
A,002564
A,002704
A,002832
A,002842
A,002843
A,002866
A,002927
A,002976
A,002978
A,002979
A,003056
A,003136
A,003313
A,003555
A,003792
A,003961
A,004231
A,004643
A,004756
A,004788
A,004789
A,004821
A,004857
A,005117
A,005517
A,005521
A,005522
A,005535
A,005669
A,005936
A,005964
A,005985
A,006008
A,006009
A,006022
A,006027
A,010183
A,011236
A,011309
A,012157
A,012158
A,012159
A,012160
A,012229
A,013483
A,013510
A,013642
A,013643
A,013653
A,013788
A,014511
A,015566
A,016554
A,017344
A,019657
A,020902
A,021495
A,024050
A,024231
A,024442
A,024494
A,024582
A,024787
A,025070
A,025081
A,025149
A,025880
A,026960
A,026969
A,026976
A,026992
A,027806
A,028083
A,028134
A,028164
A,028165
A,028307
A,028437
A,029087
A,030354
A,032210
A,035080
A,036370
A,039488
A,039681
A,042007
A,047164
A,054321
A,054655
A,061337
A,062187
A,064492
A,066938
A,068344
A,068811
A,071028
A,071178
A,071695
A,081388
A,081436
A,081778
A,082334
A,082343
A,083308
A,086336
A,086750
A,088082
A,089474
A,094432
A,098729
A,100009
A,109528
A,000129
A,000196
A,000547
A,000608
A,000704
A,000860
A,000935
A,000974
A,001093
A,001162
A,001200
A,001226
A,001455
A,001497
A,001563
A,001670
A,002082
A,002136
A,002154
A,002370
A,002426
A,002532
A,002733
A,002875
A,002925
A,003081
A,003085
A,003184
A,003254
A,003414
A,003487
A,003962
A,003965
A,004094
A,004159
A,004341
A,004389
A,004564
A,004589
A,004955
A,004996
A,005178
A,005190
A,005314
A,005408
A,005457
A,005532
A,005551
A,005554
A,005556
A,005608
A,005681
A,005707
A,005725
A,005735
A,005813
A,005862
A,005864
A,005866
A,005872
A,005923
A,005927
A,005961
A,005986
A,010808
A,010876
A,011191
A,011455
A,011463
A,011933
A,012113
A,012471
A,012564
A,012608
A,013537
A,013648
A,013655
A,013706
A,014097
A,014422
A,014494
A,014499
A,016671
A,016891
A,017251
A,017274
A,017275
A,017276
A,017277
A,017395
A,017399
A,017445
A,017933
A,018131
A,018425
A,018487
A,018682
A,018919
A,018936
A,019034
A,019807
A,019927
A,020185
A,020654
A,021068
A,021494
A,021981
A,022633
A,022700
A,022883
A,023244
A,023290
A,023307
A,023311
A,023314
A,023438
A,023439
A,023679
A,024052
A,024078
A,024158
A,024165
A,024216
A,025264
A,026986
A,028052
A,028079
A,028211
A,028290
A,028292
A,028371
A,028383
A,028391
A,028440
A,031145
A,031164
A,031343
A,033401
A,033556
A,037124
A,039644
A,040786
A,041154
A,048810
A,048921
A,050027
A,052200
A,054365
A,055411
A,057709
A,061226
A,067992
A,077001
A,079591
A,081181
A,081499
A,086380
A,087192
A,087786
A,089243
A,090283
A,091548
A,093719
A,096280
A,097058
A,097223
A,108101
A,109273
A,109810
A,113657
A,113862
A,115785
A,025640
A,025643
A,025677
A,025701
A,025703
A,025722
A,025723
A,025725
A,025747
A,025757
A,025779
A,025780
A,025787
A,025801
A,025814
A,025815
A,025846
A,025858
A,025859
A,300013
A,300014
A,300039
A,300042
A,300093
A,300095
A,300113
A,300114
A,300116
A,300117
A,300136
A,300146
A,300163
A,300168
A,300176
A,300190
A,300203
A,300204
A,300207
A,300230
A,300234
A,300247
A,300272
A,300273
A,300279
A,300293
A,300297
A,300307
A,300311
A,300327
A,300333
A,300356
A,052929
A,004240
A,010026
A,010128
A,012030
A,012215
A,013368
A,013384
A,013542
A,013579
A,013617
A,013957
A,016380
A,017419
A,017756
A,018797
A,019344
A,020175
A,020309
A,022077
A,024214
A,051443
A,054662
A,061154
A,062803
A,086455
A,090237
A,092165
A,109513
A,000538
A,001353
A,003355
A,003781
A,014153
A,020404
A,022488
A,024810
A,024898
A,025179
A,028209
A,036846
A,097057
A,108236
A,109233
A,300169
A,300246
A,014136
A,000477
A,000479
A,000499
A,000604
A,000932
A,001344
A,001410
A,001721
A,001722
A,001723
A,002251
A,002277
A,002396
A,002435
A,002494
A,002604
A,002861
A,003043
A,003044
A,003269
A,003277
A,003312
A,003386
A,003551
A,003771
